,metric,base,protected,seed,dataset,model
1,brier_loss,0.03295770670815935,0.032275903932094854,104,Phishing,DriftSRP
2,accuracy,0.9590690208667737,0.956661316211878,104,Phishing,DriftSRP
0,log_loss,0.32531301093788845,0.29126320238947784,100,Phishing,DriftARF
1,brier_loss,0.08570050692932933,0.07789978181004957,100,Phishing,DriftARF
2,accuracy,0.9020866773675762,0.9028892455858748,100,Phishing,DriftARF
0,log_loss,0.24070252033418552,0.2285252541240215,101,Phishing,DriftARF
1,brier_loss,0.06880525784600951,0.06656033269428431,101,Phishing,DriftARF
2,accuracy,0.9125200642054575,0.9117174959871589,101,Phishing,DriftARF
0,log_loss,0.194255228868116,0.18222880396372804,102,Phishing,DriftARF
1,brier_loss,0.05431027547244117,0.05241750240576038,102,Phishing,DriftARF
2,accuracy,0.9333868378812199,0.9333868378812199,102,Phishing,DriftARF
0,log_loss,0.18280376953396613,0.16059540668838507,103,Phishing,DriftARF
1,brier_loss,0.04906095561870623,0.04508580395322331,103,Phishing,DriftARF
2,accuracy,0.9438202247191011,0.9430176565008026,103,Phishing,DriftARF
0,log_loss,0.17813116407659546,0.1536385356486519,104,Phishing,DriftARF
1,brier_loss,0.04725866764741429,0.04275015576100486,104,Phishing,DriftARF
2,accuracy,0.9462279293739968,0.9462279293739968,104,Phishing,DriftARF
0,log_loss,0.4597776087606902,0.43147911552781554,100,ImageSegments,ARF
1,brier_loss,0.13412261736403264,0.12399408748813819,100,ImageSegments,ARF
2,accuracy,0.12435008665511266,0.1291161178509532,100,ImageSegments,ARF
0,log_loss,0.4391775622440014,0.4312191590992785,100,ImageSegments,SRP
1,brier_loss,0.12696975861548973,0.1239375480680193,100,ImageSegments,SRP
2,accuracy,0.1317157712305026,0.13388214904679377,100,ImageSegments,SRP
0,log_loss,0.43155142844657735,0.4298387006378795,100,ImageSegments,ADWIN
1,brier_loss,0.1241262158486182,0.12364392671951782,100,ImageSegments,ADWIN
2,accuracy,0.1304159445407279,0.13561525129982668,100,ImageSegments,ADWIN
0,log_loss,0.4371499482535022,0.4310261087856601,100,ImageSegments,Bagging
1,brier_loss,0.12621372072596695,0.12392595171901016,100,ImageSegments,Bagging
2,accuracy,0.13344887348353554,0.1386481802426343,100,ImageSegments,Bagging
0,log_loss,0.4302362677804975,0.4298401060996087,100,ImageSegments,Hoeffding
1,brier_loss,0.12350058100296045,0.12348928975104564,100,ImageSegments,Hoeffding
2,accuracy,0.1369150779896014,0.13994800693240902,100,ImageSegments,Hoeffding
0,log_loss,2.6493906558163944,2.2573028748014954,100,ImageSegments,EFTree
1,brier_loss,0.16597957133519073,0.16388501714437695,100,ImageSegments,EFTree
2,accuracy,0.13344887348353554,0.1425476603119584,100,ImageSegments,EFTree
0,log_loss,0.4394086881168167,0.4314333567266125,100,ImageSegments,DriftSRP
1,brier_loss,0.12698730093799912,0.1239789275532169,100,ImageSegments,DriftSRP
2,accuracy,0.1265164644714038,0.1360485268630849,100,ImageSegments,DriftSRP
0,log_loss,0.45534160958071673,0.4309912156455053,100,ImageSegments,DriftARF
1,brier_loss,0.13279450795308262,0.12386583348852512,100,ImageSegments,DriftARF
2,accuracy,0.1304159445407279,0.13734835355285963,100,ImageSegments,DriftARF
