,exchangable,isotonic,sigmoid,venn_abers,n_classes,n_train,accuracy_base,accuracy_prot,base brier,prot brier,base log,prot log,base auc,prot auc,base f1,prot f1,base calibration,prot calibration,index
XGBoost ,False,False,True,False,2,1000,0.941,0.941,0.0890535441657008,0.08915859374309298,0.15548966451011634,0.1557948622608889,0.984313725490196,0.9842817126850741,0.941,0.941,0.00675264934984043,0.00705363593125364,XGBoost - sigmoid
Logistic ,False,False,False,True,2,1000,0.862,0.863,0.2077440456090453,0.2078676456555923,0.33480022472591126,0.33505235344754597,0.919437775110044,0.9189915966386554,0.862,0.863,0.03639841211568562,0.0,Logistic - venn_abers
Naive Bayes ,False,False,False,True,2,1000,0.864,0.864,0.19399401249675371,0.19411486713355897,0.3078781030708417,0.30807669538640986,0.937953181272509,0.937703081232493,0.864,0.864,0.0,0.0,Naive Bayes - venn_abers
SVM ,False,False,False,True,2,1000,0.859,0.859,0.21214465237244257,0.2122715256317322,0.34115021003444124,0.34139072208974325,0.9186334533813526,0.9188075230092037,0.859,0.859,0.04744745636863796,0.0,SVM - venn_abers
Random forest ,False,False,False,True,2,1000,0.927,0.927,0.11119718302000414,0.1112547003713368,0.18972548751896795,0.18983291093625537,0.9748819527811123,0.9749019607843137,0.927,0.927,0.0,0.0,Random forest - venn_abers
XGBoost ,False,False,False,True,2,1000,0.938,0.938,0.09824036153352836,0.09829976547545974,0.1668441587030842,0.16684066516254709,0.9816186474589835,0.9812845138055222,0.938,0.938,0.0,0.0,XGBoost - venn_abers
Logistic,True,False,False,False,2,1000,0.868,0.868,0.20712419229218165,0.20719185869793014,0.34964712013150046,0.3498802004272113,0.921344537815126,0.9211844737895161,0.868,0.868,0.04507738341539676,0.044476755758839595,Logistic- exch
Naive Bayes,True,False,False,False,2,1000,0.862,0.859,0.22025034086336281,0.20291238538139367,0.4222035484472296,0.33003085686540157,0.9378631452581032,0.9322368947579033,0.862,0.859,0.10962308358146576,0.02645413327185673,Naive Bayes- exch
SVM,True,False,False,False,2,1000,0.871,0.871,0.2090263334509916,0.2090608123256348,0.35024590091581975,0.35047645612177125,0.9210484193677472,0.9209163665466187,0.871,0.871,0.04888446674980575,0.050838154965937896,SVM- exch
Random forest,True,False,False,False,2,1000,0.94,0.939,0.1021336,0.1002245348512753,0.21323975955573088,0.2098113582628506,0.9792276910764307,0.9785274109643858,0.94,0.939,0.05690731159914439,0.041204212501665255,Random forest- exch
XGBoost,True,False,False,False,2,1000,0.94,0.94,0.09301443412680854,0.09304047868105454,0.16005713248119002,0.16051149655970576,0.9832573029211684,0.9831132452981192,0.94,0.94,0.023418373287568156,0.02661271998530411,XGBoost- exch
Logistic ,True,True,False,False,2,1000,0.863,0.863,0.2018198930060617,0.20190087369463192,0.3283867084391764,0.32859932683128207,0.9221148459383754,0.9210444177671069,0.863431715857929,0.863,0.0,0.0,Logistic - isotonic- exch
Naive Bayes ,True,True,False,False,2,1000,0.861,0.861,0.1950380274267275,0.19514169425102,0.3124352900934202,0.3126925112195248,0.9364785914365746,0.9362224889955983,0.861,0.861,0.014394171546855308,0.0,Naive Bayes - isotonic- exch
SVM ,True,True,False,False,2,1000,0.873,0.873,0.202928040781725,0.20300668206531997,0.33286927490434487,0.33301280736237626,0.9212885154061624,0.9204001600640257,0.873,0.873,0.046760764487166755,0.0,SVM - isotonic- exch
Random forest ,True,True,False,False,2,1000,0.937,0.937,0.09736253745466825,0.0973339273268419,0.16631357584839185,0.16655380617978666,0.9804101640656261,0.9804441776710684,0.937,0.937,0.0,0.0,Random forest - isotonic- exch
XGBoost ,True,True,False,False,2,1000,0.937,0.937,0.0916887472579802,0.09172846771547898,0.18536379799394365,0.18576189158227913,0.9836014405762304,0.983453381352541,0.937,0.937,0.0,0.0,XGBoost - isotonic- exch
Logistic ,True,False,True,False,2,1000,0.868,0.868,0.20792762387320493,0.2079796830995961,0.3496919675436936,0.34992045292231305,0.9212244897959183,0.9210444177671069,0.868,0.868,0.04449127162230271,0.0437341737875308,Logistic - sigmoid- exch
Naive Bayes ,True,False,True,False,2,1000,0.867,0.867,0.20791037491756087,0.20797154609975854,0.3469022724596092,0.3470822846781905,0.9384473789515805,0.936282513005202,0.867,0.867,0.08357927853461528,0.07479416961743046,Naive Bayes - sigmoid- exch
SVC ,True,False,True,False,2,1000,0.871,0.871,0.2090263334509916,0.2090608123256348,0.35024590091581975,0.35047645612177125,0.9210484193677472,0.9209163665466187,0.871,0.871,0.04888446674980575,0.050838154965937896,SVC - sigmoid- exch
Random forest ,True,False,True,False,2,1000,0.933,0.933,0.10244445809169585,0.1024515063957507,0.17904142960600467,0.17933768068443207,0.9779811924769909,0.9779071628651461,0.933,0.933,0.022207462778640958,0.016026319640927527,Random forest - sigmoid- exch
XGBoost ,True,False,True,False,2,1000,0.94,0.941,0.08925403680581222,0.08932639726265357,0.15582510081621484,0.15618674134553795,0.9841976790716286,0.9841656662665066,0.94,0.941,0.010742805402058664,0.008486130734287757,XGBoost - sigmoid- exch
Logistic ,True,False,False,True,2,1000,0.862,0.865,0.2077440456090453,0.2078231378164044,0.33480022472591126,0.33512485021422195,0.919437775110044,0.9167066826730693,0.862,0.865,0.03639841211568562,0.0,Logistic - venn_abers- exch
Naive Bayes ,True,False,False,True,2,1000,0.864,0.864,0.19399401249675371,0.19410245191387387,0.3078781030708417,0.3082320929187262,0.937953181272509,0.9375190076030411,0.864,0.864,0.0,0.0,Naive Bayes - venn_abers- exch
SVM ,True,False,False,True,2,1000,0.859,0.86,0.21214465237244257,0.21222008694547667,0.34115021003444124,0.3414499485360045,0.9186334533813526,0.9164265706282513,0.859,0.86,0.04744745636863796,0.0,SVM - venn_abers- exch
Random forest ,True,False,False,True,2,1000,0.925,0.925,0.10848041437682503,0.10850047818676768,0.18823200528586767,0.18854894861018628,0.9755762304921969,0.9756822729091637,0.925,0.925,0.0,0.015352586787510676,Random forest - venn_abers- exch
XGBoost ,True,False,False,True,2,1000,0.935,0.935,0.09986220690975818,0.09984672887231803,0.1682417344956789,0.16864207650170696,0.981204481792717,0.9811924769907963,0.935,0.935,0.0,0.0,XGBoost - venn_abers- exch
Logistic,False,False,False,False,3,1000,0.444,0.531,0.5635085781353062,0.5114876523207641,0.926081111782819,0.8663549935317679,0.7724772237475529,0.7782616828486074,0.5902808738296924,0.6216091954022989,0.16684646576221168,0.1322720872358869,Logistic
Naive Bayes,False,False,False,False,3,1000,0.506,0.477,0.5886426858647753,0.506930409398166,1.1640100433605458,0.9322730376345528,0.8029182629684234,0.8042167819495569,0.6069788797061524,0.6297760210803689,0.21308997967077642,0.13833477847207332,Naive Bayes
SVM,False,False,False,False,3,1000,0.393,0.49,0.5334851430673921,0.5008540181105452,0.8674232159395501,0.8369056711006008,0.7740853644978287,0.781322879720664,0.603998298596342,0.6179372197309417,0.12981545907146508,0.11559488016669518,SVM
Random forest,False,False,False,False,3,1000,0.573,0.573,0.42665739999999996,0.40828115720685443,0.7233518893735533,0.7156292375292947,0.8556031289290246,0.8572731393628157,0.6644981412639405,0.6833484986351228,0.16342366304167322,0.12500757886753835,Random forest
XGBoost,False,False,False,False,3,1000,0.558,0.588,0.6081105135023754,0.4953676383221176,1.180685328817963,0.9029014127440175,0.7673184714860541,0.8091322604621077,0.6235238545111006,0.6373106060606061,0.2090214925567277,0.16825121839958812,XGBoost
Logistic ,False,True,False,False,3,1000,0.385,0.502,0.5627299051655891,0.5073187308905674,0.9962340737904342,0.9140282929879625,0.7654064564149916,0.7778550337045086,0.5922122379118528,0.618983355825461,0.15396245627179148,0.1219565107677962,Logistic - isotonic
Naive Bayes ,False,True,False,False,3,1000,0.462,0.462,0.49992349215767634,0.4768880094938297,0.8517269984756771,0.8240758729050289,0.8037272192346818,0.8060543465076107,0.6215034965034965,0.635030198446937,0.12250632485486498,0.10480856758526651,Naive Bayes - isotonic
SVM ,False,True,False,False,3,1000,0.463,0.499,0.5744245678530783,0.5160930282327699,1.052713036781867,0.9515892253891127,0.7702060102566429,0.782887441507588,0.5896629213483147,0.6081447963800904,0.17140836951706262,0.140611246708409,SVM - isotonic
Random forest ,False,True,False,False,3,1000,0.554,0.573,0.47965773324856514,0.4234258001373689,0.8045773187923999,0.7463492253252805,0.8415139135474665,0.8523392840366918,0.6556016597510373,0.6654309545875811,0.188221379518737,0.12984213760140956,Random forest - isotonic
XGBoost ,False,True,False,False,3,1000,0.558,0.593,0.5640812038114088,0.48616968571364205,1.4680051240418979,1.2907396715251185,0.7686275119798172,0.7975223000516776,0.6277236903106166,0.6583217431617988,0.1963496482891842,0.13046559400092475,XGBoost - isotonic
Logistic ,False,False,True,False,3,1000,0.377,0.506,0.5446850479931029,0.5024591767673934,0.8813353618639945,0.8459849875898175,0.7685357645668548,0.7767558879664854,0.6005929690808979,0.6292134831460674,0.13400543826570674,0.12558963119127425,Logistic - sigmoid
Naive Bayes ,False,False,True,False,3,1000,0.522,0.549,0.5529437082682539,0.513065970832748,0.9179792848819707,0.8813124628013306,0.7988909129436168,0.7870804207956695,0.6060606060606061,0.6246498599439776,0.17898183247301017,0.13369392744517675,Naive Bayes - sigmoid
SVC ,False,False,True,False,3,1000,0.393,0.49,0.5334851430673921,0.5008540181105452,0.8674232159395501,0.8369056711006008,0.7740853644978287,0.781322879720664,0.603998298596342,0.6179372197309417,0.12981545907146508,0.11559488016669518,SVC - sigmoid
Random forest ,False,False,True,False,3,1000,0.578,0.595,0.4890772291120025,0.43319787355453626,0.7826605501515319,0.7352889550496851,0.8473584652927189,0.8482577047793064,0.6394299287410926,0.673230192217534,0.20429715519303807,0.14709265690988396,Random forest - sigmoid
XGBoost ,False,False,True,False,3,1000,0.543,0.599,0.5671882530808082,0.4788528968073,1.053786628114622,0.8846819194066181,0.7667286071534134,0.7996478725517274,0.6245387453874539,0.6632605666511844,0.19805332516416463,0.1555400108685574,XGBoost - sigmoid
Logistic ,False,False,False,True,3,1000,0.46,0.531,0.5630372022907629,0.5082912656370899,0.9559532734966544,0.8694219239407613,0.7705488460407959,0.7807563305571484,0.597506678539626,0.6221009549795361,0.16041603423325324,0.11984437845348309,Logistic - venn_abers
Naive Bayes ,False,False,False,True,3,1000,0.442,0.44,0.4920974446907798,0.4782997442256657,0.8072849921483498,0.7942429692452216,0.8016048190169184,0.803506880645982,0.6260720411663808,0.6337308347529813,0.11464463966613841,0.09168199310617609,Naive Bayes - venn_abers
SVM ,False,False,False,True,3,1000,0.464,0.53,0.5657097028254395,0.5103210551122066,0.9665336934180897,0.8729160766104013,0.7689929136567555,0.7803482756046938,0.5966949531040643,0.6217569412835685,0.16376833455221726,0.12571634418664498,SVM - venn_abers
Random forest ,False,False,False,True,3,1000,0.51,0.575,0.4522564517401165,0.42568030713295163,0.7365331900642966,0.7217256110303863,0.8428154695723009,0.8456680075034138,0.6625441696113075,0.6586605080831409,0.16076304932279323,0.1206162207788791,Random forest - venn_abers
XGBoost ,False,False,False,True,3,1000,0.565,0.579,0.5958441350249958,0.5025155400120686,1.2162899376019338,0.9367212659401807,0.7436555261646306,0.7932681471457368,0.6343072573044298,0.6367041198501873,0.21305544789928416,0.17996125557617323,XGBoost - venn_abers
Logistic,True,False,False,False,3,1000,0.444,0.425,0.5635085781353061,0.5273037453684807,0.9260811117828192,0.8663861292187455,0.7724772237475529,0.7697719017068638,0.5902808738296924,0.6043290043290044,0.16684646576221168,0.11638352263307768,Logistic- exch
Naive Bayes,True,False,False,False,3,1000,0.506,0.482,0.5886426858647753,0.5080393029313007,1.1640100433605458,0.8912225840968769,0.8029182629684234,0.8020097536245657,0.6069788797061524,0.6319045514803359,0.21308997967077642,0.12136265673190993,Naive Bayes- exch
SVM,True,False,False,False,3,1000,0.393,0.379,0.533485143067392,0.5288278770376551,0.8674232159395502,0.8620081255785197,0.7740853644978287,0.7686531568328161,0.603998298596342,0.6021052631578947,0.12981545907146508,0.10814886549068875,SVM- exch
Random forest,True,False,False,False,3,1000,0.553,0.563,0.4402908,0.43715131775788507,0.7760994783459542,0.7798955728321348,0.8488651181688672,0.8478091895167091,0.6549815498154982,0.6565096952908587,0.18347524972514417,0.14938339266086473,Random forest- exch
XGBoost,True,False,False,False,3,1000,0.566,0.561,0.6065286027936477,0.5230908228468628,1.1799197015048295,0.9625683401491064,0.7672298264411643,0.7721714675876172,0.6283269961977186,0.6313834726090993,0.208266717624341,0.11696262281488304,XGBoost- exch
Logistic ,True,True,False,False,3,1000,0.385,0.328,0.5627299051655891,0.5343953197892796,0.9962340737904343,0.9416805756498561,0.7654064564149916,0.7601412787188329,0.5922122379118528,0.5991836734693877,0.15396245627179148,0.10379736831759183,Logistic - isotonic- exch
Naive Bayes ,True,True,False,False,3,1000,0.462,0.453,0.49992349215767634,0.48687471654100467,0.8517269984756772,0.8368007711622891,0.8037272192346818,0.8003320295625622,0.6215034965034965,0.6310344827586207,0.12250632485486497,0.08111748072228307,Naive Bayes - isotonic- exch
SVM ,True,True,False,False,3,1000,0.463,0.383,0.5744245678530783,0.5317296424519085,1.0527130367818667,0.9719941087695958,0.7702060102566429,0.7648651341198688,0.5896629213483147,0.5875370919881305,0.17140836951706265,0.11578849120421361,SVM - isotonic- exch
Random forest ,True,True,False,False,3,1000,0.558,0.538,0.45321701184664215,0.4301863420116997,0.7939566955943105,0.7835958107071008,0.8516970433778676,0.8459127233407231,0.6793478260869565,0.6882196634189548,0.17943914902940647,0.1318658358053386,Random forest - isotonic- exch
XGBoost ,True,True,False,False,3,1000,0.552,0.509,0.5674305984256702,0.5239683003630687,1.3292659426810358,1.1998979934948784,0.7675163782202249,0.7692575916600844,0.6236658932714617,0.616681455190772,0.19522251586836104,0.12416247812926082,XGBoost - isotonic- exch
Logistic ,True,False,True,False,3,1000,0.377,0.349,0.5446850479931029,0.5332919605666419,0.8813353618639944,0.8695841397696596,0.7685357645668548,0.7611814141490446,0.6005929690808979,0.5953372189841799,0.13400543826570674,0.10683983925410195,Logistic - sigmoid- exch
Naive Bayes ,True,False,True,False,3,1000,0.522,0.514,0.552943708268254,0.5333839888541136,0.9179792848819707,0.9003571938929344,0.7988909129436168,0.7645084831333261,0.6060606060606061,0.6113416320885201,0.17898183247301017,0.09921653306761449,Naive Bayes - sigmoid- exch
SVC ,True,False,True,False,3,1000,0.393,0.379,0.533485143067392,0.5288278770376551,0.8674232159395502,0.8620081255785197,0.7740853644978287,0.7686531568328161,0.603998298596342,0.6021052631578947,0.12981545907146508,0.10814886549068875,SVC - sigmoid- exch
Random forest ,True,False,True,False,3,1000,0.585,0.566,0.4924790995617623,0.45817287846193594,0.7826139216278412,0.7722220659730687,0.8488617125844337,0.8393283567211389,0.6331417624521073,0.6508158508158508,0.2125887611878711,0.1444921512127733,Random forest - sigmoid- exch
XGBoost ,True,False,True,False,3,1000,0.541,0.534,0.5689529111663423,0.5294430174293245,1.0571486244431403,0.9853516693524,0.7664154789668786,0.7617453337660262,0.6252302025782689,0.6293453724604966,0.19697074731994402,0.13918014842972412,XGBoost - sigmoid- exch
Logistic ,True,False,False,True,3,1000,0.46,0.439,0.563037202290763,0.5337394086373455,0.9559532734966545,0.8968870355570169,0.7705488460407959,0.764589180114644,0.597506678539626,0.6002621231979031,0.16041603423325324,0.11203085864412396,Logistic - venn_abers- exch
Naive Bayes ,True,False,False,True,3,1000,0.442,0.448,0.4920974446907798,0.4908164061510225,0.8072849921483498,0.8053550675210935,0.8016048190169184,0.801223561492697,0.6260720411663808,0.6267241379310344,0.11464463966613843,0.1080191981016187,Naive Bayes - venn_abers- exch
SVM ,True,False,False,True,3,1000,0.464,0.436,0.5657097028254396,0.5350602589610828,0.9665336934180896,0.899371510538294,0.7689929136567555,0.7630976126759385,0.5966949531040643,0.6013071895424836,0.16376833455221726,0.11507567333403586,SVM - venn_abers- exch
Random forest ,True,False,False,True,3,1000,0.536,0.539,0.42521909185356466,0.42391115318376227,0.6902570353145258,0.6885273776631318,0.8542310500523992,0.8537780568286738,0.6988586479367866,0.6963812886142984,0.140013846697473,0.13304052082502152,Random forest - venn_abers- exch
XGBoost ,True,False,False,True,3,1000,0.574,0.54,0.5952876414425966,0.5406969812126838,1.2116908366373444,1.000855058415422,0.7449871326749212,0.7485934100030963,0.6369668246445498,0.6292749658002736,0.21479973393027954,0.14349182209670103,XGBoost - venn_abers- exch
Logistic,False,False,False,False,5,1000,0.195,0.197,0.6016732991447824,0.6016257239156787,1.1710325947377074,1.1710647076832374,0.8131110522704124,0.8130651343835374,0.5276329509906152,0.5288796102992345,0.03564705705028812,0.035281214110595045,Logistic
Naive Bayes,False,False,False,False,5,1000,0.402,0.287,0.62024236182612,0.569563850042439,1.3589226924677145,1.1728611048282218,0.840313181604882,0.8369297671580529,0.5803792250618302,0.5605612998522895,0.11254748308775901,0.049479157758606604,Naive Bayes
SVM,False,False,False,False,5,1000,0.091,0.148,0.6165133500255895,0.6118149878628691,1.1920938094974303,1.1925623315848435,0.8055006055471686,0.8036767604322208,0.5098546042003231,0.5210884353741496,0.06394534360693795,0.054805185934710454,SVM
Random forest,False,False,False,False,5,1000,0.487,0.578,0.34715480000000004,0.31627861010489094,0.7846499692154398,0.7172941834776775,0.9476124350807013,0.9474264129481538,0.7192429022082019,0.7457202505219207,0.07425476138991335,0.032236458576902126,Random forest
XGBoost,False,False,False,False,5,1000,0.54,0.542,0.3609182271975826,0.3607977372256606,0.7044022309754658,0.7047164039784007,0.9354768252457166,0.9353899840138767,0.71499176276771,0.7161716171617162,0.0294431276546704,0.02940853404775679,XGBoost
Logistic ,False,True,False,False,5,1000,0.058,0.088,0.622018846012797,0.618407028300617,1.370192024200006,1.3776381090419318,0.8027261451976642,0.8004746688199169,0.5037546933667084,0.5097276264591439,0.06430239281772057,0.051427358254985886,Logistic - isotonic
Naive Bayes ,False,True,False,False,5,1000,0.298,0.297,0.561799880550456,0.5616616334461012,1.1666391612686107,1.1662344532720812,0.8435424329765411,0.8434713681783844,0.5616087751371115,0.56078860898138,0.0530221456334816,0.051641758013780875,Naive Bayes - isotonic
SVM ,False,True,False,False,5,1000,0.159,0.161,0.598173658338994,0.5981678446389289,1.3458016393403436,1.3459213074757057,0.8108631551705422,0.8107201659189543,0.523563811489508,0.5248275862068965,0.0421920315797377,0.04230489173492431,SVM - isotonic
Random forest ,False,True,False,False,5,1000,0.517,0.519,0.34229672614761875,0.3419277713211466,0.7604614403060987,0.7600857994695045,0.9410432029755362,0.9406794175163895,0.7221095334685599,0.7235079171741778,0.04417538058103353,0.04339946479756112,Random forest - isotonic
XGBoost ,False,True,False,False,5,1000,0.31,0.466,0.40336737628557306,0.378926593179176,0.8404085238313894,0.833500146267243,0.9277338493058587,0.9263141476181064,0.6600732600732601,0.695024077046549,0.08142410889321904,0.029372199903663257,XGBoost - isotonic
Logistic ,False,False,True,False,5,1000,0.058,0.158,0.625208078151751,0.60934735142626,1.1986262235424219,1.2280673443126515,0.8055480855233148,0.806699942880776,0.506408252578931,0.5246012894468951,0.06721406050412732,0.0437525944275902,Logistic - sigmoid
Naive Bayes ,False,False,True,False,5,1000,0.43,0.431,0.5715102359982407,0.5714788130920813,1.1277168555064474,1.127763126829431,0.8358268535022463,0.8355278223598536,0.5906210392902408,0.5911205073995772,0.05174109302091852,0.05270263188015654,Naive Bayes - sigmoid
SVC ,False,False,True,False,5,1000,0.091,0.148,0.6165133500255895,0.6118149878628691,1.1920938094974303,1.1925623315848435,0.8055006055471686,0.8036767604322208,0.5098546042003231,0.5210884353741496,0.06394534360693795,0.054805185934710454,SVC - sigmoid
Random forest ,False,False,True,False,5,1000,0.56,0.565,0.34299772208586216,0.34282376945235943,0.6842155682145421,0.6837724954425329,0.9418145007644869,0.9416621653638397,0.7353923205342237,0.7370184254606366,0.04486590860663732,0.04541863697286214,Random forest - sigmoid
XGBoost ,False,False,True,False,5,1000,0.341,0.497,0.40743965776916424,0.37650989930858464,0.7960836061361571,0.8274605347498476,0.9291430433703216,0.926893109751776,0.6649273201639955,0.7009803921568627,0.08567005149981742,0.02633488977564397,XGBoost - sigmoid
Logistic ,False,False,False,True,5,1000,0.221,0.221,0.5705287271809109,0.5704038008402824,1.0794264020269628,1.0793433154889447,0.8355539415393485,0.8355031192103688,0.5596038203042094,0.56,0.036233617052791184,0.033986002724121354,Logistic - venn_abers
Naive Bayes ,False,False,False,True,5,1000,0.281,0.28,0.5632378765624015,0.5632229230832347,1.0680502831213297,1.0681932288639353,0.8456366841089882,0.8455584544663868,0.5685425685425686,0.56833754056978,0.0417850526902151,0.042402639733708815,Naive Bayes - venn_abers
SVM ,False,False,False,True,5,1000,0.231,0.232,0.5695527749419752,0.5694609627681314,1.0781177633181933,1.078072069485908,0.83568543114265,0.8356059594384508,0.5570159857904086,0.5576102418207681,0.03197033214905358,0.03211870123510647,SVM - venn_abers
Random forest ,False,False,False,True,5,1000,0.481,0.481,0.3824087743436196,0.38234232380984257,0.7428035349064448,0.7428066856944467,0.9274579342506458,0.9272980411690284,0.6985146527498997,0.6990759341100844,0.025652331158302424,0.02441050378580301,Random forest - venn_abers
XGBoost ,False,False,False,True,5,1000,0.417,0.418,0.4064296901355872,0.40627519975702936,0.7867702450407597,0.7867307990792067,0.9188480418210971,0.9186787089117552,0.6749805144193297,0.6747269890795632,0.029183848784180393,0.0281211800712636,XGBoost - venn_abers
Logistic,True,False,False,False,5,1000,0.195,0.197,0.6016732991447824,0.6014083504811235,1.1710325947377074,1.1708571552267768,0.8131110522704124,0.8130692300617348,0.5276329509906152,0.5273423894113549,0.03564705705028812,0.03519451860769022,Logistic- exch
Naive Bayes,True,False,False,False,5,1000,0.402,0.316,0.62024236182612,0.5692560638812076,1.3589226924677142,1.2025360150835847,0.840313181604882,0.8389751633240661,0.5803792250618302,0.5728264960481746,0.11254748308775901,0.04908567829357783,Naive Bayes- exch
SVM,True,False,False,False,5,1000,0.091,0.128,0.6165133500255895,0.6121280544974822,1.1920938094974303,1.1921757362609304,0.8055006055471686,0.8032979218393355,0.5098546042003231,0.5180240320427236,0.06394534360693795,0.05571513892983832,SVM- exch
Random forest,True,False,False,False,5,1000,0.494,0.593,0.3499126,0.32381298361933875,0.7261488257357426,0.701998704891019,0.9469380137663638,0.9443975310015362,0.7237415774871185,0.7523404255319149,0.07896970286891578,0.01570423576765212,Random forest- exch
XGBoost,True,False,False,False,5,1000,0.542,0.544,0.35943058134245665,0.3593705893639815,0.7017570923308029,0.70155723539379,0.9359581673306463,0.9359451565990581,0.7169344870210136,0.7181180354931903,0.029899376087483262,0.029015091166641954,XGBoost- exch
Logistic ,True,True,False,False,5,1000,0.058,0.077,0.622018846012797,0.6192516024292262,1.3701920242000065,1.4030990433222101,0.8027261451976642,0.8017377165810421,0.5037546933667084,0.5052766229613047,0.06430239281772057,0.051486770510915825,Logistic - isotonic- exch
Naive Bayes ,True,True,False,False,5,1000,0.298,0.298,0.561799880550456,0.5617798455055207,1.1666391612686107,1.1665402479469043,0.8435424329765411,0.8434249871307843,0.5616087751371115,0.5614035087719298,0.05302214563348159,0.05303695506462457,Naive Bayes - isotonic- exch
SVM ,True,True,False,False,5,1000,0.159,0.165,0.598173658338994,0.5979505181524027,1.3458016393403436,1.3454797447674482,0.8108631551705422,0.8108115384676996,0.523563811489508,0.5238424326192122,0.04219203157973771,0.040302734774925186,SVM - isotonic- exch
Random forest ,True,True,False,False,5,1000,0.494,0.496,0.34493649606210613,0.3447141261109765,0.7994360854274467,0.7991342764418025,0.9404513570341908,0.9401814259768392,0.7113985448666128,0.7115072933549432,0.04100792779633408,0.039134237814189114,Random forest - isotonic- exch
XGBoost ,True,True,False,False,5,1000,0.317,0.481,0.40388442363603577,0.3795842553297031,0.84067804474993,0.9304283972845351,0.9276064889822152,0.9247515215766196,0.6625045905251561,0.7003231017770598,0.08113130965661473,0.01820116987442075,XGBoost - isotonic- exch
Logistic ,True,False,True,False,5,1000,0.058,0.163,0.625208078151751,0.6089818558293372,1.198626223542422,1.2327758757551777,0.8055480855233148,0.8060809802966039,0.506408252578931,0.5311118667120027,0.06721406050412734,0.0401097980987316,Logistic - sigmoid- exch
Naive Bayes ,True,False,True,False,5,1000,0.43,0.432,0.5715102359982407,0.5714897313196855,1.1277168555064476,1.1276679777750893,0.8358268535022463,0.8357412327755054,0.5906210392902408,0.5911205073995772,0.05174109302091852,0.051144715338035204,Naive Bayes - sigmoid- exch
