,exchangable,isotonic,sigmoid,venn_abers,n_classes,n_train,accuracy_base,accuracy_prot,base brier,prot brier,base log,prot log,base auc,prot auc,base f1,prot f1,base calibration,prot calibration,index
Random forest,True,False,False,False,2,1000,0.934,0.936,0.10002879999999999,0.09833061685306224,0.20956542317225113,0.20537468471364304,0.9799939975990395,0.9803601440576231,0.9344672336168084,0.936,0.05628840776292086,0.03618150217296851,Random forest- exch
XGBoost,True,False,False,False,2,1000,0.941,0.94,0.09235639827797874,0.09231371780461456,0.1592688638329885,0.15936324845474903,0.9833813525410163,0.9834813925570228,0.941,0.94,0.017071414085031152,0.022826595645396387,XGBoost- exch
Logistic ,True,True,False,False,2,1000,0.865,0.865,0.20137365695452228,0.2014818933754889,0.328628667083306,0.3289035825899502,0.9216926770708282,0.9222008803521409,0.865,0.865,0.0,0.0,Logistic - isotonic- exch
Naive Bayes ,True,True,False,False,2,1000,0.86,0.86,0.19459521255748413,0.1946913818455444,0.3125014558070086,0.31253091153697754,0.9369607843137255,0.936858743497399,0.86,0.86,0.07639240480638441,0.0,Naive Bayes - isotonic- exch
SVM ,True,True,False,False,2,1000,0.873,0.873,0.2021502769321088,0.20226055158343864,0.33216390466023216,0.3324316751045171,0.9211644657863145,0.9210084033613444,0.873,0.873,0.05310833052881557,0.0,SVM - isotonic- exch
Random forest ,True,True,False,False,2,1000,0.934,0.934,0.10514722609861986,0.10514075274329092,0.1835248293103766,0.18318330690322313,0.9761304521808724,0.9765226090436174,0.934,0.934,0.03275458189999944,0.00815980223689772,Random forest - isotonic- exch
XGBoost ,True,True,False,False,2,1000,0.938,0.938,0.09108557213977242,0.091032659020501,0.18580987876463695,0.18577355913693883,0.9832553021208483,0.9832252901160465,0.938,0.938,0.031155219250076246,0.0,XGBoost - isotonic- exch
Logistic ,True,False,True,False,2,1000,0.867,0.868,0.2078395122487879,0.20786603846421123,0.3499924379167301,0.35000320227990606,0.9210924369747898,0.9209203681472589,0.867,0.868,0.04717676884990698,0.04631798248344046,Logistic - sigmoid- exch
Naive Bayes ,True,False,True,False,2,1000,0.867,0.867,0.20783914789166838,0.20790491231492517,0.3467425740747025,0.3469065576776645,0.9382873149259705,0.9367346938775509,0.867,0.867,0.08254466628280291,0.07454038705510255,Naive Bayes - sigmoid- exch
SVC ,True,False,True,False,2,1000,0.873,0.871,0.20895461460755768,0.20897862427798428,0.35030838724658,0.3503458384169395,0.9210284113645458,0.9207683073229291,0.873,0.871,0.05021186994603596,0.05015470334238912,SVC - sigmoid- exch
Random forest ,True,False,True,False,2,1000,0.939,0.939,0.09876175951249197,0.09878682292326761,0.17542521294019273,0.17552836333587574,0.9792777110844337,0.9792557022809124,0.939,0.939,0.0,0.0,Random forest - sigmoid- exch
XGBoost ,True,False,True,False,2,1000,0.943,0.943,0.08929992224442813,0.08928833078463168,0.15561247249216642,0.15571606846430452,0.9843137254901961,0.9843777511004401,0.943,0.943,0.029038317652815566,0.030441363787403457,XGBoost - sigmoid- exch
Logistic ,True,False,False,True,2,1000,0.862,0.861,0.2077739753353266,0.20785730697859792,0.3348884771063529,0.33520061456440997,0.9193577430972388,0.9195798319327732,0.862,0.861,0.04086015460358337,0.0,Logistic - venn_abers- exch
Naive Bayes ,True,False,False,True,2,1000,0.865,0.865,0.19399463590914495,0.19410002553973357,0.30815375904923964,0.3084693949732634,0.9376150460184074,0.9370988395358144,0.865,0.865,0.0,0.0,Naive Bayes - venn_abers- exch
SVM ,True,False,False,True,2,1000,0.861,0.861,0.21140748644149734,0.21148634948389422,0.3403252248628174,0.3406218225209863,0.9188635454181673,0.9186034413765507,0.861,0.861,0.0,0.0,SVM - venn_abers- exch
Random forest ,True,False,False,True,2,1000,0.933,0.933,0.1075892175672352,0.10765713646569391,0.1875656340086577,0.18776170101636652,0.9746458583433373,0.9748659463785515,0.933,0.933,0.037508262614638015,0.0,Random forest - venn_abers- exch
XGBoost ,True,False,False,True,2,1000,0.932,0.932,0.09781557778071255,0.09790420873293704,0.16643529422715006,0.1666817142536731,0.9816266506602641,0.9815326130452181,0.932,0.932,0.0,0.0,XGBoost - venn_abers- exch
Logistic,False,False,False,False,3,1000,0.66,0.658,0.3447744259313206,0.3447066628270551,0.6144557889370394,0.613600214354829,0.9009130299817647,0.9008992653480314,0.7577981651376147,0.7576729271644526,0.026779038395375047,0.029169875440085737,Logistic
Naive Bayes,False,False,False,False,3,1000,0.688,0.651,0.401228094083559,0.3683120776185523,0.9035080788282308,0.7488220869896661,0.8923446989383418,0.8893128142001782,0.7356430944470812,0.7372296364473079,0.11844633873991217,0.06021466729630017,Naive Bayes
SVM,False,False,False,False,3,1000,0.603,0.6,0.35509129340122936,0.35506591630872014,0.6233247296164891,0.6232302885753718,0.8975071821697519,0.8974812845281536,0.7467849223946785,0.745792736935341,0.033596879334299445,0.034813629353674554,SVM
Random forest,False,False,False,False,3,1000,0.778,0.777,0.2383538,0.23829637769801087,0.49498112265279776,0.49477676574373675,0.948747403507538,0.9486282183032987,0.8418560606060606,0.8414576431613819,0.040501951784227934,0.02632319548508487,Random forest
XGBoost,False,False,False,False,3,1000,0.787,0.786,0.24942225560895304,0.24936294092524053,0.44949456641348795,0.4494256268401499,0.9437055760198344,0.9436441921967181,0.8324531925108017,0.8320537428023033,0.02378610450626746,0.023063329400188768,XGBoost
Logistic ,False,True,False,False,3,1000,0.597,0.596,0.3510627100707492,0.3511212776121055,0.7032184745126537,0.7034260805978134,0.8984357472721979,0.8983915702266101,0.7518664909969258,0.7518664909969258,0.034440784007174756,0.038056722013056404,Logistic - isotonic
Naive Bayes ,False,True,False,False,3,1000,0.646,0.647,0.35881110178974857,0.3587734363450303,0.6902592941977953,0.6898966880117998,0.8934273229044463,0.8935186016793031,0.7370827617741198,0.737419945105215,0.026340504370255816,0.03253158023979555,Naive Bayes - isotonic
SVM ,False,True,False,False,3,1000,0.634,0.633,0.3550808167874185,0.35506214149577836,0.7080424924927377,0.7081961390022768,0.8967082028760324,0.8962462902934941,0.7487550928021729,0.7489823609226595,0.022320380775299662,0.017841049880672515,SVM - isotonic
Random forest ,False,True,False,False,3,1000,0.773,0.771,0.25187663937311444,0.2519164209652226,0.4607555302246931,0.4612998429263248,0.9428946621988642,0.9423478095425218,0.833570412517781,0.8327806726669825,0.010596109866722719,0.005988012016820013,Random forest - isotonic
XGBoost ,False,True,False,False,3,1000,0.759,0.758,0.2551870072347779,0.25524460881042926,0.560228452750284,0.5604054887318314,0.9387632664924435,0.9386097238824451,0.8233082706766918,0.822921559417567,0.019551882245282662,0.021275022929149543,XGBoost - isotonic
Logistic ,False,False,True,False,3,1000,0.6,0.601,0.3525258257179968,0.35245176438432035,0.6202309962092155,0.6201585903626325,0.9002685547218418,0.9002853665313788,0.7568042142230026,0.7567091948966124,0.05507180408847426,0.050053725961721925,Logistic - sigmoid
Naive Bayes ,False,False,True,False,3,1000,0.7,0.7,0.3835951762395279,0.38352772867413937,0.6833318421632082,0.683149244836389,0.8899503504714078,0.8887766587585634,0.7361845266698702,0.7361845266698702,0.09169680586315786,0.08597729092792608,Naive Bayes - sigmoid
SVC ,False,False,True,False,3,1000,0.603,0.6,0.35509129340122936,0.35506591630872014,0.6233247296164891,0.6232302885753718,0.8975071821697519,0.8974812845281536,0.7467849223946785,0.745792736935341,0.033596879334299445,0.034813629353674554,SVC - sigmoid
Random forest ,False,False,True,False,3,1000,0.79,0.79,0.25881854886229877,0.25881169705675694,0.4683911047232842,0.46858064964422275,0.9420160298957169,0.9419269371329175,0.8295509415741188,0.8295509415741188,0.027522252751971524,0.026410769168307747,Random forest - sigmoid
XGBoost ,False,False,True,False,3,1000,0.758,0.758,0.2562832369723992,0.2562740291466392,0.4675659860486791,0.4675946428308194,0.939217248036965,0.9391159140913786,0.8257397839361202,0.825187969924812,0.02981916668428246,0.025341375323394158,XGBoost - sigmoid
Logistic ,False,False,False,True,3,1000,0.669,0.668,0.3252774029942849,0.32533168829889036,0.5638424074937505,0.563899920609707,0.9113064255482041,0.9112483084507267,0.771978021978022,0.77162471395881,0.021011262225076245,0.020010454418016677,Logistic - venn_abers
Naive Bayes ,False,False,False,True,3,1000,0.631,0.631,0.3587444550484543,0.3587675020566421,0.6207707396415901,0.6207596716336791,0.8947135399341656,0.8947149396707491,0.7429085997298515,0.7417755745831456,0.02661362552421949,0.02525340624053041,Naive Bayes - venn_abers
SVM ,False,False,False,True,3,1000,0.678,0.678,0.3257422717014935,0.32580287412740244,0.5637658572233829,0.5638412547389916,0.9112643424744763,0.9111843247522806,0.7725598526703499,0.7731247123791992,0.02283040384614327,0.022555996988713495,SVM - venn_abers
Random forest ,False,False,False,True,3,1000,0.749,0.749,0.257832565203868,0.25789171054226395,0.47029881896027903,0.4704830312749117,0.9387929952713563,0.9386685529664592,0.8242990654205608,0.8248482017748715,0.01133592744456042,0.015207395319739792,Random forest - venn_abers
XGBoost ,False,False,False,True,3,1000,0.757,0.757,0.2513466984375673,0.2514604064604793,0.44805206392618524,0.4481993242127221,0.9439980654999812,0.9439795624409175,0.8235849056603773,0.8235849056603773,0.0,0.0,XGBoost - venn_abers
Logistic,True,False,False,False,3,1000,0.66,0.66,0.3447744259313207,0.3448146149804704,0.6144557889370393,0.6144790630379345,0.9009130299817647,0.9009286112287396,0.7577981651376147,0.7577981651376147,0.026779038395375033,0.02579643822604547,Logistic- exch
Naive Bayes,True,False,False,False,3,1000,0.688,0.652,0.40122809408355903,0.36921777897093055,0.9035080788282308,0.7112797179683332,0.8923446989383418,0.8906588351611076,0.7356430944470812,0.7373737373737373,0.1184463387399122,0.049553362003783186,Naive Bayes- exch
SVM,True,False,False,False,3,1000,0.603,0.602,0.35509129340122936,0.35505843205707166,0.6233247296164891,0.6233937304305455,0.8975071821697519,0.8974563079768981,0.7467849223946785,0.7470093043863536,0.033596879334299466,0.03515222200918926,SVM- exch
Random forest,True,False,False,False,3,1000,0.773,0.774,0.2368674,0.23681542798816174,0.4634409913207111,0.46321360262468037,0.9492034076420085,0.9491250367351819,0.8427495291902072,0.8427495291902072,0.05484225824242654,0.035143868908376515,Random forest- exch
XGBoost,True,False,False,False,3,1000,0.788,0.788,0.2492545635354505,0.24929246486483306,0.4491356523140425,0.4491828187738179,0.9438266989566452,0.943756625174707,0.8328530259365994,0.8334133461353816,0.022688739554904594,0.018877829072910652,XGBoost- exch
Logistic ,True,True,False,False,3,1000,0.597,0.598,0.3510627100707492,0.35113200898199326,0.7032184745126537,0.7033418344876256,0.8984357472721979,0.8983860823311701,0.7518664909969258,0.7521968365553603,0.03444078400717475,0.03466721792583898,Logistic - isotonic- exch
Naive Bayes ,True,True,False,False,3,1000,0.646,0.647,0.35881110178974845,0.35885477470521004,0.6902592941977953,0.6904137472985737,0.8934273229044463,0.8931143528357813,0.7370827617741198,0.7365050320219579,0.02634050437025581,0.03046935666446158,Naive Bayes - isotonic- exch
SVM ,True,True,False,False,3,1000,0.634,0.634,0.3550808167874185,0.3550940712179008,0.7080424924927377,0.7080106083795431,0.8967082028760324,0.8965074898781141,0.7487550928021729,0.7487550928021729,0.022320380775299634,0.023959314317314746,SVM - isotonic- exch
Random forest ,True,True,False,False,3,1000,0.774,0.774,0.25636739893733923,0.2564311248490261,0.4608792490450365,0.46121142701033213,0.9422076830846978,0.9420110801564929,0.8252148997134671,0.8252148997134671,0.007206701075401377,0.005570665079682226,Random forest - isotonic- exch
XGBoost ,True,True,False,False,3,1000,0.76,0.76,0.25428735228382837,0.25438016840447425,0.47065290082798983,0.47102344451864403,0.9387294778920241,0.9385953644441102,0.8244705882352941,0.8248587570621468,0.024121766699421017,0.02549648136328007,XGBoost - isotonic- exch
Logistic ,True,False,True,False,3,1000,0.6,0.6,0.3525258257179968,0.3523801027101283,0.6202309962092155,0.6202303585621821,0.9002685547218418,0.9001795290675112,0.7568042142230026,0.7571365832235397,0.05507180408847426,0.05578314314760682,Logistic - sigmoid- exch
Naive Bayes ,True,False,True,False,3,1000,0.7,0.7,0.3835951762395279,0.38362240064334835,0.6833318421632082,0.6834652782038776,0.8899503504714078,0.8892352711843733,0.7361845266698702,0.7361845266698702,0.09169680586315787,0.08981735970983305,Naive Bayes - sigmoid- exch
SVC ,True,False,True,False,3,1000,0.603,0.602,0.35509129340122936,0.35505843205707166,0.6233247296164891,0.6233937304305455,0.8975071821697519,0.8974563079768981,0.7467849223946785,0.7470093043863536,0.033596879334299466,0.03515222200918926,SVC - sigmoid- exch
Random forest ,True,False,True,False,3,1000,0.787,0.787,0.25555972452964354,0.25563385836730385,0.4620571360649089,0.4623541032862848,0.9436009556546345,0.9435672833495321,0.8272200772200772,0.8266537904394012,0.03395678746955121,0.03225579005767638,Random forest - sigmoid- exch
XGBoost ,True,False,True,False,3,1000,0.758,0.76,0.255901052292924,0.2559643307545735,0.4671880503298168,0.46738483161769706,0.9392546542823929,0.9391167113255654,0.8257397839361202,0.825964252116651,0.028427167208581024,0.02895281109352427,XGBoost - sigmoid- exch
Logistic ,True,False,False,True,3,1000,0.669,0.668,0.3252774029942849,0.3253433812501062,0.5638424074937506,0.5639624120565018,0.9113064255482041,0.9112355838947983,0.771978021978022,0.77162471395881,0.021011262225076238,0.02451648509448372,Logistic - venn_abers- exch
Naive Bayes ,True,False,False,True,3,1000,0.631,0.631,0.35874445504845426,0.3588061842006747,0.62077073964159,0.6209478144495109,0.8947135399341656,0.8947495154115881,0.7429085997298515,0.7426768814781433,0.026613625524219465,0.029226322568537813,Naive Bayes - venn_abers- exch
SVM ,True,False,False,True,3,1000,0.678,0.677,0.32574227170149345,0.32582551428363515,0.5637658572233829,0.5639149170805724,0.9112643424744763,0.9111379969827661,0.7725598526703499,0.7722043258168431,0.022830403846143307,0.02324183167015744,SVM - venn_abers- exch
Random forest ,True,False,False,True,3,1000,0.757,0.758,0.2575996582996835,0.25764568084982237,0.46425869243390105,0.46459407977216666,0.9393273364193454,0.9391271836377789,0.8253521126760563,0.8261278195488722,0.0,0.0,Random forest - venn_abers- exch
XGBoost ,True,False,False,True,3,1000,0.761,0.761,0.2501086240914102,0.2501808243050196,0.4460961089145809,0.4462866008726446,0.9446633510171297,0.9444723863197829,0.8266414737836562,0.8266414737836562,0.0037364705363850566,0.0,XGBoost - venn_abers- exch
Logistic,False,False,False,False,5,1000,0.193,0.196,0.603260313158979,0.6032125906231254,1.1743039684005303,1.1743398441584922,0.812016183466963,0.8119784013053367,0.5246015246015246,0.5265348595213319,0.0423174335727702,0.04097510445412813,Logistic
Naive Bayes,False,False,False,False,5,1000,0.398,0.284,0.6214127832321572,0.5704100470491655,1.3620246441993646,1.1748851863330263,0.8397751454285821,0.8364168640980711,0.5804597701149425,0.5597345132743363,0.11376503403909842,0.04640509621950646,Naive Bayes
SVM,False,False,False,False,5,1000,0.087,0.142,0.617676046763833,0.6131093733803257,1.1944549715637804,1.1952249316639372,0.8047911590922652,0.8027815074913244,0.5116580310880829,0.5207060420909708,0.06645942995042031,0.05021510070578456,SVM
Random forest,False,False,False,False,5,1000,0.504,0.587,0.34954219999999997,0.3205147371439425,0.7625519890616342,0.7926212702753169,0.9451971878095808,0.9453265844167756,0.7244408945686901,0.746218487394958,0.08318358114480655,0.030023140864635593,Random forest
XGBoost,False,False,False,False,5,1000,0.54,0.54,0.36240077892671035,0.3622769387975552,0.7080852412013057,0.7083351918915982,0.9345326912491739,0.9344247299940085,0.7141094199917729,0.7146974063400576,0.031223882582894314,0.030791744835089684,XGBoost
Logistic ,False,True,False,False,5,1000,0.059,0.094,0.6225404816780322,0.6183314134371599,1.372047037839147,1.4088017791157659,0.8025950388888914,0.8003202508099158,0.5003126954346466,0.5071707953063885,0.06279984419229047,0.045573918033920295,Logistic - isotonic
Naive Bayes ,False,True,False,False,5,1000,0.297,0.297,0.5627215943867544,0.5625853768182436,1.1676894064325276,1.1673102202024956,0.8432482956659954,0.8432312083833355,0.5605839416058395,0.5602914389799636,0.048207309808243115,0.04749658830652569,Naive Bayes - isotonic
SVM ,False,True,False,False,5,1000,0.161,0.165,0.5985104683372224,0.598499726350989,1.3779048481746017,1.3779811429102446,0.8109730605273857,0.8108044502886866,0.5226960110041265,0.523776705720193,0.03941115445451745,0.039258445877471605,SVM - isotonic
Random forest ,False,True,False,False,5,1000,0.512,0.512,0.3451238014020834,0.34501818382462907,0.6795216764509591,0.6798379806775713,0.9414850315192581,0.9410773221284764,0.7166123778501629,0.7169042769857433,0.03978157322508507,0.04071173288756249,Random forest - isotonic
XGBoost ,False,True,False,False,5,1000,0.322,0.46,0.40619411379919107,0.3844200662476872,0.8445728356956683,0.8414473743592168,0.9260932462122554,0.924479558193784,0.6580597565473995,0.6912590216519647,0.07798598437416046,0.03040858836886774,XGBoost - isotonic
Logistic ,False,False,True,False,5,1000,0.06,0.149,0.6261101003851102,0.6106229615962078,1.2001588152977474,1.2312347826950834,0.8049950068899833,0.805819633172491,0.5056532663316583,0.5231184610192373,0.06786876900846467,0.041861151400983725,Logistic - sigmoid
Naive Bayes ,False,False,True,False,5,1000,0.426,0.426,0.5728088157718163,0.5727760974743245,1.1294104919652959,1.1294517701915954,0.8353462745691761,0.8351268051959762,0.5879375790805568,0.5881856540084388,0.05344742947552747,0.05406335696896237,Naive Bayes - sigmoid
SVC ,False,False,True,False,5,1000,0.087,0.142,0.617676046763833,0.6131093733803257,1.1944549715637804,1.1952249316639372,0.8047911590922652,0.8027815074913244,0.5116580310880829,0.5207060420909708,0.06645942995042031,0.05021510070578456,SVC - sigmoid
Random forest ,False,False,True,False,5,1000,0.552,0.553,0.3444948995939836,0.3441666909020055,0.6884395338287116,0.6877193502532861,0.941488138345448,0.9411067411834697,0.7306242144951822,0.7309304274937133,0.0423696360374713,0.04040525955530081,Random forest - sigmoid
XGBoost ,False,False,True,False,5,1000,0.345,0.492,0.4085514705940114,0.37907573334627725,0.7979524477770795,0.8296895991400866,0.9284296731193125,0.9261194638860426,0.6698956780923994,0.6996322026971802,0.0872242929647239,0.020365866258914102,XGBoost - sigmoid
Logistic ,False,False,False,True,5,1000,0.214,0.214,0.5757029839912554,0.5755941573873989,1.0913125779982404,1.0912376088926907,0.8310034643112756,0.830970070885086,0.5561837455830388,0.5565770862800565,0.040358884554588484,0.04002452381204446,Logistic - venn_abers
Naive Bayes ,False,False,False,True,5,1000,0.278,0.277,0.565552655094004,0.565538351284756,1.0728672130884602,1.0730188015786786,0.8440627695677115,0.8439765482305791,0.5662953647143371,0.5657800143781452,0.044479548081066536,0.044054556072885186,Naive Bayes - venn_abers
SVM ,False,False,False,True,5,1000,0.223,0.224,0.5770800213786165,0.5770052100338191,1.0935317486041896,1.093507827627689,0.8298670818457623,0.8297548748432255,0.552753108348135,0.5533428165007113,0.03845290941661402,0.03785542908274136,SVM - venn_abers
Random forest ,False,False,False,True,5,1000,0.475,0.478,0.38167519610922557,0.3814068591590567,0.7426643142045556,0.7423416280850493,0.9275768180153404,0.9273004744187597,0.701195219123506,0.7025948103792415,0.033249449848485005,0.032131366460209414,Random forest - venn_abers
XGBoost ,False,False,False,True,5,1000,0.425,0.426,0.407429856329107,0.40735156514553955,0.786797517109044,0.7867684903400057,0.9188064612856405,0.9187536820278789,0.6804849432929214,0.6786833855799373,0.027358352833223267,0.02633730498789824,XGBoost - venn_abers
Logistic,True,False,False,False,5,1000,0.193,0.196,0.603260313158979,0.6031835442999027,1.1743039684005303,1.1744458502422712,0.812016183466963,0.8120173868274791,0.5246015246015246,0.5256588072122053,0.042317433572770215,0.039551032759735774,Logistic- exch
Naive Bayes,True,False,False,False,5,1000,0.398,0.297,0.6214127832321572,0.5696766873931083,1.3620246441993646,1.2036162896012506,0.8397751454285821,0.8388565523722307,0.5804597701149425,0.5701459034792368,0.11376503403909843,0.0558676394482068,Naive Bayes- exch
SVM,True,False,False,False,5,1000,0.087,0.196,0.617676046763833,0.6107804786145402,1.1944549715637804,1.2155433174628338,0.8047911590922652,0.8026941430692954,0.5116580310880829,0.526056338028169,0.06645942995042031,0.04270394621015633,SVM- exch
Random forest,True,False,False,False,5,1000,0.486,0.58,0.3495562,0.3187929597547264,0.6923066235568647,0.6855654235082018,0.9478132292530532,0.9466323802590961,0.7218045112781954,0.7465321563682219,0.07988092906681135,0.0166542500713758,Random forest- exch
XGBoost,True,False,False,False,5,1000,0.541,0.54,0.3606113549500034,0.3603794648494785,0.7060395615825337,0.7053990413844403,0.9347267746921639,0.9347452641282701,0.7157548334018923,0.7168724279835391,0.029706192884799344,0.02842129919439281,XGBoost- exch
Logistic ,True,True,False,False,5,1000,0.059,0.101,0.622540481678032,0.6170818197300546,1.3720470378391467,1.3803151725732,0.8025950388888914,0.7998762790639281,0.5003126954346466,0.5102445472571051,0.06279984419229045,0.04708360594008363,Logistic - isotonic- exch
Naive Bayes ,True,True,False,False,5,1000,0.297,0.3,0.5627215943867544,0.5625830065949858,1.1676894064325278,1.167045005814369,0.8432482956659954,0.8433213480581246,0.5605839416058395,0.5617238860482103,0.048207309808243115,0.04796284504511418,Naive Bayes - isotonic- exch
SVM ,True,True,False,False,5,1000,0.161,0.164,0.5985104683372224,0.5981822342393519,1.377904848174602,1.3775363649891899,0.8109730605273857,0.8109058227510829,0.5226960110041265,0.523448275862069,0.03941115445451745,0.03920230848328805,SVM - isotonic- exch
Random forest ,True,True,False,False,5,1000,0.513,0.515,0.3410018576684843,0.3406818458376606,0.7248796303123952,0.7240070013009546,0.9419931222586315,0.9421307320507225,0.7163695299837926,0.7170117742590337,0.04077387014573529,0.03994493743855807,Random forest - isotonic- exch
XGBoost ,True,True,False,False,5,1000,0.315,0.472,0.4044333364280519,0.38031715920772985,0.8412343145992565,0.8647762957865496,0.9273824727951048,0.925767828948716,0.6573426573426573,0.693795326349718,0.08049014058989346,0.025042442248975026,XGBoost - isotonic- exch
Logistic ,True,False,True,False,5,1000,0.06,0.171,0.6261101003851103,0.611917829665933,1.2001588152977474,1.2137818470775963,0.8049950068899833,0.8055043709912759,0.5056532663316583,0.5242382271468145,0.06786876900846467,0.047222572273341215,Logistic - sigmoid- exch
Naive Bayes ,True,False,True,False,5,1000,0.426,0.424,0.5728088157718162,0.5724554330295336,1.1294104919652959,1.1286703659737314,0.8353462745691761,0.8350971756150776,0.5879375790805568,0.5871946082561078,0.053447429475527455,0.050984474540695573,Naive Bayes - sigmoid- exch
