,exchangable,isotonic,sigmoid,venn_abers,n_classes,n_train,accuracy_base,accuracy_prot,base brier,prot brier,base log,prot log,base auc,prot auc,base f1,prot f1,base calibration,prot calibration,index
Naive Bayes ,False,False,False,True,2,1000,0.497,0.539,0.808038683602056,0.6229002730369825,1.439150613537165,0.9278224776416826,0.49999599076271733,0.6272331451664637,0.497,0.539,0.39246806517840227,0.38167736410918135,Naive Bayes - venn_abers
SVM ,False,False,False,True,2,1000,0.501,0.568,0.7915481287650039,0.592587422253465,1.3119414016860078,0.8957394820638356,0.4987471133491565,0.6281392327923535,0.501,0.568,0.3807644391095768,0.3777562946056503,SVM - venn_abers
Random forest ,False,False,False,True,2,1000,0.49,0.538,0.8991661253470293,0.6740320718229955,1.7566031931895476,1.031872812043229,0.5003628359740844,0.6637733337609852,0.49,0.538,0.443104972912392,0.4471089885947611,Random forest - venn_abers
XGBoost ,False,False,False,True,2,1000,0.487,0.53,0.8968737082278682,0.7001282328233884,1.9001007482302403,1.0879537077117976,0.5034659856308936,0.6678667650266212,0.487,0.53,0.4463805861658398,0.4803365939712588,XGBoost - venn_abers
Logistic,True,False,False,False,2,1000,0.492,0.5,0.7803306670077954,0.6551174444569065,1.4354891923351394,0.9773500574685337,0.5019444800821091,0.499919815254346,0.492,0.5,0.3734263041724328,0.2779732723518148,Logistic- exch
Naive Bayes,True,False,False,False,2,1000,0.497,0.498,0.9262802676681445,0.7894316042744447,4.128692527211184,2.3018625085498203,0.5000220508050548,0.5074571813458209,0.497,0.498,0.4624743935892229,0.38329772058323686,Naive Bayes- exch
SVM,True,False,False,False,2,1000,0.493,0.501,0.769151528924953,0.6445164548552669,1.3562022998329089,0.9402266570851519,0.5016918981332992,0.5004570530502277,0.493,0.501,0.3659572941300594,0.26609890123952457,SVM- exch
Random forest,True,False,False,False,2,1000,0.487,0.502,0.8685036,0.7221837671368982,4.162638504925673,3.7397437944380534,0.5042297453332478,0.5049975142728846,0.4877315973960941,0.502,0.4288005209063982,0.33275320822664295,Random forest- exch
XGBoost,True,False,False,False,2,1000,0.487,0.505,0.9184704933589527,0.7293224997843659,1.8863846821690222,1.125379646783242,0.49481004233754566,0.49486817627814494,0.487,0.505,0.45589741188149185,0.3379023052234948,XGBoost- exch
Logistic ,True,True,False,False,2,1000,0.499,0.503,0.8047477672916882,0.6548862002286089,1.5946082979360576,1.1719658145680556,0.503387805503881,0.496932933478735,0.499,0.503,0.38361373927486003,0.27788613935804735,Logistic - isotonic- exch
Naive Bayes ,True,True,False,False,2,1000,0.496,0.493,0.8185034921834672,0.682768100491678,1.5625229667320972,1.0281974492590373,0.5022992975816281,0.5012308358457888,0.496,0.493,0.3883820918466827,0.30071532817747854,Naive Bayes - isotonic- exch
SVM ,True,True,False,False,2,1000,0.495,0.502,0.8041517886192042,0.6545473585186019,1.5203842219593884,1.097020015077934,0.5026460966065817,0.4957261530566426,0.495,0.502,0.3823533728268146,0.275373405145387,SVM - isotonic- exch
Random forest ,True,True,False,False,2,1000,0.487,0.505,0.9124645288113602,0.7552893236385994,2.4950966748863186,1.7130977020428158,0.49621528000513176,0.49967525178010136,0.487,0.505,0.45640113908335045,0.35726178743071857,Random forest - isotonic- exch
XGBoost ,True,True,False,False,2,1000,0.49,0.506,0.921942381581697,0.7828849955789804,4.04940124536477,3.3307738547900527,0.4871724453140035,0.49114559946115854,0.49,0.506,0.45085408767603735,0.375438225954066,XGBoost - isotonic- exch
Logistic ,True,False,True,False,2,1000,0.493,0.505,0.772330032724405,0.6479142382262016,1.3818194736807292,0.9517050274113843,0.5024656809288601,0.5010183462698057,0.493,0.505,0.36687861686887946,0.2701698924070978,Logistic - sigmoid- exch
Naive Bayes ,True,False,True,False,2,1000,0.495,0.501,0.8067611854067837,0.6312915382173878,1.2246843450390505,0.8659780238054741,0.5004109468214767,0.4999358522034768,0.495,0.501,0.3925283161762475,0.2545970944503891,Naive Bayes - sigmoid- exch
SVC ,True,False,True,False,2,1000,0.493,0.501,0.769151528924953,0.6445164548552669,1.3562022998329089,0.9402266570851519,0.5016918981332992,0.5004570530502277,0.493,0.501,0.3659572941300594,0.26609890123952457,SVC - sigmoid- exch
Random forest ,True,False,True,False,2,1000,0.492,0.506,0.9082710215990949,0.7111876325378834,1.7861448197062781,1.1049590959299649,0.5016718519468856,0.49952691000064153,0.492,0.506,0.4457997204315384,0.3234794190339493,Random forest - sigmoid- exch
XGBoost ,True,False,True,False,2,1000,0.491,0.499,0.9110566137014814,0.7189766978598314,1.8165312021117304,1.1078212661486064,0.49852660529860804,0.4950606196677144,0.491,0.499,0.453854503778141,0.32997281512556015,XGBoost - sigmoid- exch
Logistic ,True,False,False,True,2,1000,0.496,0.504,0.7913788590018682,0.643510212293419,1.3168571662681652,0.9218098560580718,0.4999819584322278,0.49720556161395857,0.496,0.504,0.37135136325284346,0.2672517134877308,Logistic - venn_abers- exch
Naive Bayes ,True,False,False,True,2,1000,0.497,0.498,0.8080386836020561,0.666716770309981,1.439150613537165,0.9698582928666277,0.49999599076271733,0.49694496119058307,0.497,0.498,0.39246806517840216,0.28801774572005795,Naive Bayes - venn_abers- exch
SVM ,True,False,False,True,2,1000,0.501,0.505,0.7915481287650039,0.6435323765809681,1.3119414016860078,0.918878826483157,0.4987471133491565,0.49620726153056643,0.501,0.505,0.3807644391095768,0.2663500398737388,SVM - venn_abers- exch
Random forest ,True,False,False,True,2,1000,0.491,0.507,0.9020103663774205,0.7259039633733896,1.8365452133699531,1.1231218188779641,0.5016097087690038,0.49739399576624543,0.491,0.507,0.4434664001625008,0.3366561169501174,Random forest - venn_abers- exch
XGBoost ,True,False,False,True,2,1000,0.489,0.515,0.896767959676074,0.7325524971016525,1.8926289304523614,1.135637362603999,0.5024777086407082,0.49943870678042207,0.489,0.515,0.44655524204254626,0.343959096760964,XGBoost - venn_abers- exch
Logistic,False,False,False,False,3,1000,0.461,0.466,0.6845553197912493,0.5793016658879048,1.318505650540666,1.0567723140873173,0.7044950232225453,0.7526579098264258,0.555045871559633,0.5692582663092046,0.20967833062069116,0.1568175191327699,Logistic
Naive Bayes,False,False,False,False,3,1000,0.512,0.491,0.7331356709624596,0.6429680997007953,2.1257564709267323,1.4278445412365763,0.7311001131875834,0.7388005786357984,0.5676317038443285,0.5719557195571956,0.25783454445820897,0.20132100309878165,Naive Bayes
SVM,False,False,False,False,3,1000,0.418,0.43,0.6442625334855491,0.5477307732906218,1.1455815457970466,0.974831445468506,0.7058943738858358,0.7562502416836754,0.555210643015521,0.5892933618843683,0.1755228315279069,0.12909183975611374,SVM
Random forest,False,False,False,False,3,1000,0.546,0.545,0.6250816,0.5137684286481496,1.664402531667033,1.413123145740986,0.7288289481317994,0.7937529109442204,0.6128423040604344,0.6324001835704451,0.20096688017822856,0.1490585146351167,Random forest
XGBoost,False,False,False,False,3,1000,0.552,0.557,0.6694693530635937,0.5409946688473838,1.361394769449924,0.9697937568317302,0.7208252495177906,0.7932726320763163,0.601056168987038,0.6064638783269962,0.23124168203000425,0.19761866267364553,XGBoost
Logistic ,False,True,False,False,3,1000,0.415,0.421,0.6565722562128694,0.5528524039180707,1.379786610697369,1.1712441302654344,0.7074633204330144,0.7613344886833721,0.5612648221343873,0.5831918505942275,0.1869286996481479,0.13804753387986926,Logistic - isotonic
Naive Bayes ,False,True,False,False,3,1000,0.475,0.486,0.6368847616701796,0.5646394658014784,1.7575666300525459,1.5942585078056426,0.7280233445879437,0.7613118900857992,0.5779606767261088,0.574806730331969,0.1883207148353709,0.14918938752435068,Naive Bayes - isotonic
SVM ,False,True,False,False,3,1000,0.447,0.445,0.69576715850926,0.5797063101784586,1.4718995541445927,1.19371128483722,0.7020067885824552,0.7563137057900877,0.5540968764146673,0.563966356795042,0.2138309797534363,0.16186365821460008,SVM - isotonic
Random forest ,False,True,False,False,3,1000,0.547,0.548,0.6577304234772433,0.5270138188075032,1.246944327737429,0.9161440672620438,0.7288910337312206,0.8079980610582687,0.6078710289236605,0.6209150326797386,0.23068446032690565,0.1992886062553872,Random forest - isotonic
XGBoost ,False,True,False,False,3,1000,0.537,0.539,0.6425701773282676,0.5200949489326341,1.5745048079702184,1.2820040966038864,0.726392610457713,0.7864030088760003,0.6024436090225563,0.6271649954421149,0.21462107670357472,0.16139970056989714,XGBoost - isotonic
Logistic ,False,False,True,False,3,1000,0.415,0.424,0.6340514841005593,0.538821332740229,1.1354494486055486,0.9724963287123694,0.708930315412211,0.762346614301582,0.5636523266022827,0.5962105263157895,0.16830379429570155,0.12605715789156485,Logistic - sigmoid
Naive Bayes ,False,False,True,False,3,1000,0.527,0.525,0.6439123186594536,0.5519995396102021,1.0758451096285526,0.9474574964820237,0.7216461558030627,0.7634050093074004,0.5670350792888035,0.5658021133525456,0.20236932782844283,0.1705493378634823,Naive Bayes - sigmoid
SVC ,False,False,True,False,3,1000,0.418,0.43,0.6442625334855491,0.5477307732906218,1.1455815457970466,0.974831445468506,0.7058943738858358,0.7562502416836754,0.555210643015521,0.5892933618843683,0.1755228315279069,0.12909183975611374,SVC - sigmoid
Random forest ,False,False,True,False,3,1000,0.564,0.565,0.6474304635451156,0.5114129540897665,1.1686597629752031,0.8971063143626273,0.7359854943817533,0.81120263648249,0.6055930568948891,0.607824427480916,0.2167614201936017,0.19052239192971318,Random forest - sigmoid
XGBoost ,False,False,True,False,3,1000,0.535,0.547,0.6362596858351136,0.5077942889593703,1.1910410035334957,0.9291570259293321,0.7264022775125053,0.7913246331019176,0.6031000469704086,0.6222426470588235,0.2127256508530672,0.1716890925328235,XGBoost - sigmoid
Logistic ,False,False,False,True,3,1000,0.47,0.468,0.6655356269203865,0.5617065134662402,1.2312685808054302,0.9818628607296662,0.699781521782007,0.7529060203729433,0.5595238095238095,0.5577689243027888,0.197928047027066,0.15423242391781986,Logistic - venn_abers
Naive Bayes ,False,False,False,True,3,1000,0.463,0.458,0.6220750679210691,0.5403290951831684,1.093798858454759,0.9375741856839757,0.722524923167755,0.7615804442076838,0.5808194506978839,0.5832235397452789,0.17095538135027283,0.13624815778836827,Naive Bayes - venn_abers
SVM ,False,False,False,True,3,1000,0.473,0.467,0.6685826293589371,0.5643196924923063,1.2460190278368861,0.987038555481022,0.699107238763854,0.7524955284819939,0.5598526703499079,0.556390977443609,0.2028442682206816,0.15426184437478752,SVM - venn_abers
Random forest ,False,False,False,True,3,1000,0.536,0.532,0.6500607721192592,0.5275794161152713,1.2977901095165587,0.9616919757516746,0.7097746648065777,0.787465563697516,0.610929472209248,0.6190036900369004,0.22678182328450264,0.18698995241614402,Random forest - venn_abers
XGBoost ,False,False,False,True,3,1000,0.54,0.556,0.6437417739149897,0.5205758560641728,1.2726854425725371,0.9468820784394154,0.7169302340190326,0.7888690125034113,0.6061465721040189,0.6157450796626054,0.22036804804727625,0.18085102526674224,XGBoost - venn_abers
Logistic,True,False,False,False,3,1000,0.461,0.407,0.6845553197912493,0.6086774089664294,1.318505650540666,1.0710885403816515,0.7044950232225453,0.7072493043221755,0.555045871559633,0.5490196078431373,0.20967833062069116,0.1375281791261272,Logistic- exch
Naive Bayes,True,False,False,False,3,1000,0.512,0.47,0.7331356709624596,0.6475477045702669,2.1257564709267327,1.4570287671551845,0.7311001131875834,0.7307018021734756,0.5676317038443285,0.5750798722044729,0.25783454445820897,0.19497322127533379,Naive Bayes- exch
SVM,True,False,False,False,3,1000,0.418,0.353,0.6442625334855491,0.5924899520779365,1.1455815457970466,1.0326681377120084,0.7058943738858358,0.7033552083944578,0.555210643015521,0.5517241379310345,0.1755228315279069,0.11649001288438898,SVM- exch
Random forest,True,False,False,False,3,1000,0.547,0.505,0.6232755999999999,0.5633918380462908,1.7857728737150438,1.6265508115563707,0.731042037751498,0.7439033466788145,0.6097215667767815,0.6033469018543646,0.2006449112328091,0.1433264722435303,Random forest- exch
XGBoost,True,False,False,False,3,1000,0.551,0.528,0.6708040162607094,0.5709120618881974,1.3639228075903291,1.0339842965078778,0.7205394744991306,0.742682796904916,0.600096015362458,0.5948196114708603,0.2321432279604405,0.14509344866656884,XGBoost- exch
Logistic ,True,True,False,False,3,1000,0.415,0.348,0.6565722562128694,0.5958629674855869,1.379786610697369,1.193993575847691,0.7074633204330144,0.7057886802979899,0.5612648221343873,0.5558333333333333,0.1869286996481479,0.12117388260590892,Logistic - isotonic- exch
Naive Bayes ,True,True,False,False,3,1000,0.475,0.443,0.6368847616701797,0.5790568844817233,1.757566630052546,1.6052495439048458,0.7280233445879437,0.7296012879107049,0.5779606767261088,0.583812472357364,0.18832071483537094,0.12639892271251305,Naive Bayes - isotonic- exch
SVM ,True,True,False,False,3,1000,0.447,0.394,0.69576715850926,0.61074132406926,1.4718995541445925,1.2216822780379704,0.7020067885824552,0.7015330538531058,0.5540968764146673,0.551038062283737,0.2138309797534363,0.12943578369050782,SVM - isotonic- exch
Random forest ,True,True,False,False,3,1000,0.553,0.513,0.6603274469604024,0.5627398817193938,1.411856502579906,1.122968764024073,0.7322302092573318,0.7542597626550677,0.6008624820316243,0.604355716878403,0.2278650763074149,0.14400287878216317,Random forest - isotonic- exch
XGBoost ,True,True,False,False,3,1000,0.541,0.478,0.6425051884493336,0.5647180768968979,1.5164146291460225,1.2827698561930552,0.727382191229673,0.7432655170374916,0.6042352941176471,0.5937084625609216,0.21695954202412068,0.14265249405805608,XGBoost - isotonic- exch
Logistic ,True,False,True,False,3,1000,0.415,0.343,0.6340514841005593,0.5883692600510146,1.1354494486055486,1.002750320839246,0.708930315412211,0.7074664070211402,0.5636523266022827,0.5556478405315615,0.16830379429570155,0.1146990337171843,Logistic - sigmoid- exch
Naive Bayes ,True,False,True,False,3,1000,0.527,0.512,0.6439123186594536,0.5773629381027761,1.0758451096285526,0.9714297869678019,0.7216461558030627,0.716794918242894,0.5670350792888035,0.5632458233890215,0.20236932782844283,0.11422754259516607,Naive Bayes - sigmoid- exch
SVC ,True,False,True,False,3,1000,0.418,0.353,0.6442625334855491,0.5924899520779365,1.1455815457970466,1.0326681377120084,0.7058943738858358,0.7033552083944578,0.555210643015521,0.5517241379310345,0.1755228315279069,0.11649001288438898,SVC - sigmoid- exch
Random forest ,True,False,True,False,3,1000,0.555,0.545,0.6517071010148279,0.5591687423348557,1.1757013562243288,0.964952256151756,0.7310433706198176,0.7449049226624629,0.5996150144369586,0.6032045240339302,0.2171847620902146,0.13401979484093116,Random forest - sigmoid- exch
XGBoost ,True,False,True,False,3,1000,0.537,0.492,0.6359049765345377,0.5648234680893229,1.1905641840624661,1.0056749331434052,0.7264063322077563,0.7354053550351346,0.6046074283027738,0.5947888589398024,0.21245771741774375,0.13819983899047664,XGBoost - sigmoid- exch
Logistic ,True,False,False,True,3,1000,0.47,0.413,0.6655356269203865,0.6016425283477256,1.2312685808054302,1.0232898027403323,0.699781521782007,0.6985637909778709,0.5595238095238095,0.5505226480836237,0.197928047027066,0.12618224135724174,Logistic - venn_abers- exch
Naive Bayes ,True,False,False,True,3,1000,0.463,0.419,0.6220750679210691,0.5730317121907349,1.0937988584547589,0.959069499601417,0.722524923167755,0.7210519974321268,0.5808194506978839,0.5798611111111112,0.1709553813502728,0.11322471685775744,Naive Bayes - venn_abers- exch
SVM ,True,False,False,True,3,1000,0.473,0.417,0.6685826293589371,0.6032260936345418,1.246019027836886,1.0287609689049027,0.699107238763854,0.6978805374772944,0.5598526703499079,0.5536181342632955,0.2028442682206816,0.12730470372299957,SVM - venn_abers- exch
Random forest ,True,False,False,True,3,1000,0.539,0.514,0.65324870375238,0.5668670630643889,1.290040610323409,1.02948006404182,0.7081240781538579,0.7312092297931333,0.6097560975609756,0.6031021897810219,0.22518959369875832,0.14370584096540057,Random forest - venn_abers- exch
XGBoost ,True,False,False,True,3,1000,0.539,0.524,0.6435186867341876,0.5637559887790599,1.2727212791451659,1.0174139289408415,0.7169700370703876,0.7403528871311594,0.6035950804162725,0.6012832263978002,0.21998700353452,0.13892602867689013,XGBoost - venn_abers- exch
Logistic,False,False,False,False,5,1000,0.156,0.132,0.6858417231106291,0.6651371305502758,1.3763831632609174,1.3782928850241174,0.7665595621503994,0.7757054225118661,0.4753984753984754,0.47693817468105987,0.06779909894037377,0.050239372559879314,Logistic
Naive Bayes,False,False,False,False,5,1000,0.332,0.241,0.7628091372473876,0.6595550923874789,1.9913520555656306,1.7800913938272347,0.7777361578504642,0.7902133126005075,0.513136288998358,0.5093577981651376,0.15647828857098525,0.07785561681494549,Naive Bayes
SVM,False,False,False,False,5,1000,0.072,0.099,0.6762752852963287,0.6657487809621536,1.3395581840883493,1.3798643334585536,0.7646380031163397,0.772018331547403,0.47150259067357514,0.4788273615635179,0.05449923300916765,0.05653438869398452,SVM
Random forest,False,False,False,False,5,1000,0.385,0.362,0.5667791999999999,0.5239408588348924,2.0133461331330587,2.0672682209409565,0.8259041738103988,0.8535677328631263,0.5991294024535022,0.5916230366492147,0.11154118156483682,0.10051481509112875,Random forest
XGBoost,False,False,False,False,5,1000,0.427,0.38,0.603602291610776,0.5465207191503679,1.376421153277044,1.1813615672966582,0.8074490273889504,0.8398710645601077,0.5787094122482532,0.5713178294573643,0.12016968963281904,0.08565502744371113,XGBoost
Logistic ,False,True,False,False,5,1000,0.053,0.067,0.6775668349935227,0.6648181765734096,1.6398622594185381,1.658345031507388,0.769167023066373,0.7780720443500225,0.4721701063164478,0.4740321057601511,0.05849462474444326,0.058804852325813665,Logistic - isotonic
Naive Bayes ,False,True,False,False,5,1000,0.24,0.206,0.6763882823924771,0.6449696100519482,1.6710845175347493,1.617170670641579,0.7771070844212377,0.7923832677668733,0.4992700729927007,0.4972677595628415,0.08633769679960727,0.06697792834324606,Naive Bayes - isotonic
SVM ,False,True,False,False,5,1000,0.131,0.134,0.6768087000317207,0.6651398647742135,1.6849824744911743,1.6861218137720366,0.7638243354321405,0.7719709103041362,0.4786795048143054,0.48193592365371507,0.059265928341347876,0.05792455194887529,SVM - isotonic
Random forest ,False,True,False,False,5,1000,0.398,0.352,0.5841540887336412,0.5306635337653035,1.507686126684588,1.3532244351411877,0.8189752966605738,0.8551433166808386,0.5900040633888664,0.5808656036446469,0.11630508969765968,0.09481284835991667,Random forest - isotonic
XGBoost ,False,True,False,False,5,1000,0.251,0.265,0.5904852260972393,0.5510302496579644,1.3914951320561377,1.4278289568755131,0.81555222779449,0.8449039187866705,0.5415135929463629,0.5513049696102967,0.09404457170889942,0.08609463303961626,XGBoost - isotonic
Logistic ,False,False,True,False,5,1000,0.055,0.092,0.6778257130211064,0.6622174176993736,1.332638418819717,1.378060650872389,0.7700296952927109,0.778476018020835,0.47550251256281406,0.4846350832266325,0.055384666823035215,0.051930266704538826,Logistic - sigmoid
Naive Bayes ,False,False,True,False,5,1000,0.357,0.342,0.6750705046630344,0.6574935026520982,1.3413231698940018,1.3397297934215282,0.7558618437592491,0.7612378924447043,0.5145508224377899,0.5205592105263158,0.08385855881354211,0.06657982160249387,Naive Bayes - sigmoid
SVC ,False,False,True,False,5,1000,0.072,0.099,0.6762752852963287,0.6657487809621536,1.3395581840883493,1.3798643334585536,0.7646380031163397,0.772018331547403,0.47150259067357514,0.4788273615635179,0.05449923300916765,0.05653438869398452,SVC - sigmoid
Random forest ,False,False,True,False,5,1000,0.439,0.408,0.5723426581334987,0.5257808242583342,1.194394625081179,1.11368386925494,0.8177256628569992,0.8518283442389537,0.6010883214734198,0.5973610555777689,0.10348974465768009,0.09427766110815235,Random forest - sigmoid
XGBoost ,False,False,True,False,5,1000,0.273,0.309,0.5869440059818674,0.5496490094148719,1.2278306831878725,1.2912951728029551,0.8136809211294246,0.8421782056471757,0.5487714072970961,0.5494830132939439,0.09198240892437803,0.09103350619049627,XGBoost - sigmoid
Logistic ,False,False,False,True,5,1000,0.166,0.144,0.6807115769932713,0.6575907364276684,1.3639321244099845,1.3306417097197716,0.768163734406154,0.7825307510056295,0.49681978798586574,0.4945164506480558,0.07351021549083761,0.060177145848231535,Logistic - venn_abers
Naive Bayes ,False,False,False,True,5,1000,0.221,0.185,0.6890696616425733,0.659465777023548,1.3915607136341315,1.3318716840362281,0.7620295038581889,0.7795278092003791,0.49586776859504134,0.481418342993522,0.09550721649858357,0.06725220999975978,Naive Bayes - venn_abers
SVM ,False,False,False,True,5,1000,0.172,0.15,0.682214131985905,0.6579393153417791,1.3657611308793776,1.3302957729819918,0.7676246404923155,0.7821343846084915,0.4952042628774423,0.4930325149303251,0.0726598120319866,0.05665589425021911,SVM - venn_abers
Random forest ,False,False,False,True,5,1000,0.369,0.324,0.6035032498358981,0.5500870108987722,1.2844670908953646,1.1676881849006449,0.8163490767152478,0.8490751147835741,0.5718875502008032,0.5737889598197522,0.11173188790659763,0.09830601150109894,Random forest - venn_abers
XGBoost ,False,False,False,True,5,1000,0.312,0.292,0.6258596222883466,0.5712343213948763,1.3195268430431224,1.2020589614061734,0.8067865273031337,0.8370819138806291,0.5585023400936038,0.5536764705882353,0.10945418174487878,0.09109016487961141,XGBoost - venn_abers
Logistic,True,False,False,False,5,1000,0.156,0.151,0.6858417231106291,0.684571500949505,1.3763831632609174,1.3966986916610706,0.7665595621503994,0.7666771325172576,0.4753984753984754,0.47638745260255083,0.06779909894037377,0.06610651726311793,Logistic- exch
Naive Bayes,True,False,False,False,5,1000,0.332,0.208,0.7628091372473876,0.676490685360498,1.9913520555656306,1.979441860689601,0.7777361578504642,0.7809340373869937,0.513136288998358,0.5045504186385148,0.15647828857098528,0.085639169096002,Naive Bayes- exch
SVM,True,False,False,False,5,1000,0.072,0.072,0.6762752852963287,0.67624697361528,1.3395581840883495,1.3396637652928256,0.7646380031163397,0.7646047540489894,0.47150259067357514,0.47165532879818595,0.05449923300916765,0.05585792602436243,SVM- exch
Random forest,True,False,False,False,5,1000,0.382,0.373,0.5645598,0.5547913622493474,2.144202108656773,2.1375191010547443,0.8239009615833917,0.830061521820015,0.5969912905779889,0.5953307392996109,0.11339864468611381,0.10494825693692501,Random forest- exch
XGBoost,True,False,False,False,5,1000,0.428,0.402,0.6016888824259201,0.5891443273817061,1.3726964829536656,1.3151053464286269,0.8081708050957033,0.8118363666429236,0.579185520361991,0.5748792270531401,0.12059699236129816,0.10139337544292451,XGBoost- exch
Logistic ,True,True,False,False,5,1000,0.053,0.053,0.6775668349935227,0.6774363631405724,1.6398622594185381,1.6403983545634673,0.769167023066373,0.7691760130379791,0.4721701063164478,0.4726477024070022,0.058494624744443266,0.0554857026997873,Logistic - isotonic- exch
Naive Bayes ,True,True,False,False,5,1000,0.24,0.213,0.6763882823924771,0.6693204638524539,1.6710845175347495,1.6499190704323887,0.7771070844212377,0.7736949523256096,0.4992700729927007,0.49804618117229127,0.08633769679960729,0.07372952451114097,Naive Bayes - isotonic- exch
SVM ,True,True,False,False,5,1000,0.131,0.13,0.6768087000317207,0.676687319025537,1.6849824744911743,1.6845712324926645,0.7638243354321405,0.7638882645985625,0.4786795048143054,0.478156174750602,0.05926592834134788,0.061277426550388064,SVM - isotonic- exch
Random forest ,True,True,False,False,5,1000,0.413,0.396,0.5839085501761249,0.5710160466554681,1.9106117301916103,1.9072870055377935,0.8185263123833838,0.823223942538408,0.5952768729641694,0.5936,0.11422931022364753,0.10437986353711108,Random forest - isotonic- exch
XGBoost ,True,True,False,False,5,1000,0.251,0.25,0.5897979426764502,0.5880530048816711,1.3898251356741465,1.4193843534407167,0.8156402138122868,0.8173613032866079,0.5427098674521355,0.541452677916361,0.09300916361734084,0.09402735388698738,XGBoost - isotonic- exch
Logistic ,True,False,True,False,5,1000,0.055,0.055,0.6778257130211064,0.6777108196236652,1.3326384188197171,1.3327394739223255,0.7700296952927109,0.7700529013933328,0.47550251256281406,0.4752911551778407,0.055384666823035195,0.05592102747284666,Logistic - sigmoid- exch
